[INFO] [2022-03-03 15:26:37,577] [attacker_B66] started 
[INFO] [2022-03-03 15:26:37,073] [attacker_B68] started 
[INFO] [2022-03-03 15:26:38,160] [attacker_B65] started 
[INFO] [2022-03-03 15:27:36,588] [attacker_B0] stopped 
[INFO] [2022-03-03 15:27:36,674] [attacker_B1] stopped 
[INFO] [2022-03-03 15:27:36,684] [attacker_B2] stopped 
[INFO] [2022-03-03 15:27:36,685] [attacker_B3] stopped 
[INFO] [2022-03-03 15:27:36,685] [attacker_B4] stopped 
[INFO] [2022-03-03 15:27:36,685] [attacker_B5] stopped 
[INFO] [2022-03-03 15:27:36,685] [attacker_B6] stopped 
[INFO] [2022-03-03 15:27:36,686] [attacker_B7] stopped 
[INFO] [2022-03-03 15:27:36,692] [attacker_B8] stopped 
[INFO] [2022-03-03 15:27:36,695] [attacker_B9] stopped 
[INFO] [2022-03-03 15:27:36,695] [attacker_B10] stopped 
[INFO] [2022-03-03 15:27:36,696] [attacker_B11] stopped 
[INFO] [2022-03-03 15:27:36,696] [attacker_B12] stopped 
[INFO] [2022-03-03 15:27:36,696] [attacker_B13] stopped 
[INFO] [2022-03-03 15:27:36,696] [attacker_B14] stopped 
[INFO] [2022-03-03 15:27:36,696] [attacker_B15] stopped 
[INFO] [2022-03-03 15:27:36,696] [attacker_B16] stopped 
[INFO] [2022-03-03 15:27:36,696] [attacker_B17] stopped 
[INFO] [2022-03-03 15:27:36,696] [attacker_B18] stopped 
[INFO] [2022-03-03 15:27:36,699] [attacker_B19] stopped 
[INFO] [2022-03-03 15:27:36,699] [attacker_B20] stopped 
[INFO] [2022-03-03 15:27:36,769] [attacker_B21] stopped 
